MouseSpeed,ClickintervalAvg,scrollSpeedAvg,averageTypingSpeed,averageTimeSpent,keystrokes[0],keystrokes[1],keystrokes[2],label
0.034009524,1990,0.4958532032,2.538333333,0.01440000018,308,7,124,1
0.01710428793,1321.25,0.4876965133,1.961666667,17828.3199,68,68,64,1
0.04723801941,2340.6,0.7370294624,2.8948,127.5322,328,358,241,1
0.03511224091,2084.333333,0.2968906299,2.847666667,17828.32,47,100,20,1
0.003409797619,1716.4,0.4340381659,2.019,0.01450000018,261,43,158,1
0.1024707331,1852.5,0.3985972669,1.965333333,0.0147000002,21,8,208,1
0.02999474153,2081.111111,0.3122508031,2.771285714,127.5323,283,394,44,1
0.1724848626,1647,0.7379419708,2.6,0.01490000018,8,238,20,1
0.02983534698,1548.5,0.9369971694,3.2275,0.01500000018,76,282,40,1
0.07013869676,6586.571429,0.2968906299,2.512166667,17828.32,47,100,20,1
0.1231688454,2771,-0.1524649915,2.5675,0.0152000002,43,196,,1
0.02169391847,1393.625,0.797996704,2.90175,127.5325,166,314,488,1
0.0747180345,2568.5,-0.1524649915,2.5675,0.0152000002,43,196,,1
0,1199,2.104620552,1.4315,0.01530000022,20,220,,1
0.08554233746,1718.666667,-0.0204572755,2.1078,17828.3202,21,69,83,1
0.110627675,2063,0.5813729813,2,0.01550000021,289,17,295,1
0.1070621087,1375,1.189632008,2.322666667,127.5326,136,175,,1
0.02117086171,1860.6,0,1.851,17828.3203,213,80,,1
0.01971955988,1679,1.071222075,2.102,127.5328,272,4,207,1
0.050603458,3493.5,0.4305015403,3.79525,0.01560000023,176,26,,1
0.02157962883,2391.25,0.8959511008,2.786,127.5329,216,231,4,1
0.0256047702,1946.5,0,2.12175,0.01590000024,5,210,326,1
0.08464189903,2271.4,-0.01084071086,3.40125,17828.3204,18,105,78,1
0.03925915173,2172.666667,0.643286662,3.3325,127.5331,880,560,560,1
0.04491888145,1810,0.001405891072,3.4715,0.01610000023,187,18,222,1
0.06908934156,2749.5,0,5.62925,17828.3206,122,104,95,1
0.08353596279,1177,-0.0456717391,2.0045,0.01650000024,16,199,173,1
0.03251476681,2840.5,0.4974523953,3.2365,127.5333,487,288,1027,1
0.06086938866,2458.4,0.2070783409,3.14825,17828.3207,125,2,1,1
0,1033.333333,0,2.389,0.01670000023,275,279,4,1
0.01541001027,3211,3.00243984,3.04875,127.5335,339,556,451,1
0.01250228604,1790.5,-0.02877199189,2.712333333,0.01680000022,286,257,8,1
0.2627348566,0,0.008257013841,14.691,17828.3208,4,128,21,1
0.702785088,2714.666667,-0.02877199189,2.712333333,0.01680000022,286,257,8,1
0.08716666664,2098,0,2.09,0.01690000021,176,145,,1
0.4223526829,809.1666667,-0.01627797223,5.315,17828.3209,79,120,25,1
0.05301738829,1464.5,0.4051273017,1.390333333,0.0171000002,197,58,,1
0,1264,1.312055933,1.688,0.01730000022,204,57,,1
0.01725488912,1772.333333,0.7048999868,2.824714286,127.5337,164,20,145,1
0.02236081724,1322,0.002962684707,3.1065,0.01740000021,168,,,1
0.420713286,1751.285714,0.5629399224,3.2794,17828.3209,91,93,18,1
0.1105065908,2084,0,2.4845,0.01760000023,231,8,111,1
0.2124214121,3824,0.6221376482,3.43475,17828.3211,147,411,162,1
0.08204748092,1941,0.7610634205,2.111666667,0.01780000022,166,185,120,1
0.04788553846,3453,0.4876666825,4.97225,127.534,604,504,2033,1
0.03372555608,861.3333333,0.7949227061,3.0925,0.01790000021,139,,,1
